agent,step,total_games,alive_games,survival_probability
expectimax,0,3000,3000,1.0
expectimax,1,3000,3000,1.0
expectimax,2,3000,3000,1.0
expectimax,3,3000,3000,1.0
expectimax,4,3000,3000,1.0
expectimax,5,3000,3000,1.0
expectimax,6,3000,3000,1.0
expectimax,7,3000,3000,1.0
expectimax,8,3000,3000,1.0
expectimax,9,3000,3000,1.0
expectimax,10,3000,3000,1.0
expectimax,11,3000,3000,1.0
expectimax,12,3000,3000,1.0
expectimax,13,3000,3000,1.0
expectimax,14,3000,3000,1.0
expectimax,15,3000,3000,1.0
expectimax,16,3000,3000,1.0
expectimax,17,3000,3000,1.0
expectimax,18,3000,3000,1.0
expectimax,19,3000,3000,1.0
expectimax,20,3000,3000,1.0
expectimax,21,3000,3000,1.0
expectimax,22,3000,3000,1.0
expectimax,23,3000,3000,1.0
expectimax,24,3000,3000,1.0
expectimax,25,3000,3000,1.0
expectimax,26,3000,3000,1.0
expectimax,27,3000,3000,1.0
expectimax,28,3000,3000,1.0
expectimax,29,3000,3000,1.0
expectimax,30,3000,3000,1.0
expectimax,31,3000,3000,1.0
expectimax,32,3000,3000,1.0
expectimax,33,3000,3000,1.0
expectimax,34,3000,3000,1.0
expectimax,35,3000,3000,1.0
expectimax,36,3000,3000,1.0
expectimax,37,3000,3000,1.0
expectimax,38,3000,3000,1.0
expectimax,39,3000,3000,1.0
expectimax,40,3000,3000,1.0
expectimax,41,3000,3000,1.0
expectimax,42,3000,3000,1.0
expectimax,43,3000,3000,1.0
expectimax,44,3000,3000,1.0
expectimax,45,3000,3000,1.0
expectimax,46,3000,3000,1.0
expectimax,47,3000,3000,1.0
expectimax,48,3000,3000,1.0
expectimax,49,3000,3000,1.0
expectimax,50,3000,3000,1.0
expectimax,51,3000,3000,1.0
expectimax,52,3000,3000,1.0
expectimax,53,3000,3000,1.0
expectimax,54,3000,3000,1.0
expectimax,55,3000,3000,1.0
expectimax,56,3000,3000,1.0
expectimax,57,3000,3000,1.0
expectimax,58,3000,3000,1.0
expectimax,59,3000,3000,1.0
expectimax,60,3000,3000,1.0
expectimax,61,3000,3000,1.0
expectimax,62,3000,3000,1.0
expectimax,63,3000,3000,1.0
expectimax,64,3000,3000,1.0
expectimax,65,3000,3000,1.0
expectimax,66,3000,3000,1.0
expectimax,67,3000,3000,1.0
expectimax,68,3000,3000,1.0
expectimax,69,3000,3000,1.0
expectimax,70,3000,3000,1.0
expectimax,71,3000,3000,1.0
expectimax,72,3000,3000,1.0
expectimax,73,3000,3000,1.0
expectimax,74,3000,3000,1.0
expectimax,75,3000,3000,1.0
expectimax,76,3000,3000,1.0
expectimax,77,3000,3000,1.0
expectimax,78,3000,3000,1.0
expectimax,79,3000,3000,1.0
expectimax,80,3000,3000,1.0
expectimax,81,3000,3000,1.0
expectimax,82,3000,3000,1.0
expectimax,83,3000,3000,1.0
expectimax,84,3000,3000,1.0
expectimax,85,3000,3000,1.0
expectimax,86,3000,3000,1.0
expectimax,87,3000,3000,1.0
expectimax,88,3000,3000,1.0
expectimax,89,3000,3000,1.0
expectimax,90,3000,3000,1.0
expectimax,91,3000,3000,1.0
expectimax,92,3000,3000,1.0
expectimax,93,3000,3000,1.0
expectimax,94,3000,3000,1.0
expectimax,95,3000,3000,1.0
expectimax,96,3000,3000,1.0
expectimax,97,3000,3000,1.0
expectimax,98,3000,3000,1.0
expectimax,99,3000,3000,1.0
expectimax,100,3000,3000,1.0
expectimax,101,3000,3000,1.0
expectimax,102,3000,3000,1.0
expectimax,103,3000,3000,1.0
expectimax,104,3000,3000,1.0
expectimax,105,3000,3000,1.0
expectimax,106,3000,3000,1.0
expectimax,107,3000,3000,1.0
expectimax,108,3000,3000,1.0
expectimax,109,3000,3000,1.0
expectimax,110,3000,3000,1.0
expectimax,111,3000,3000,1.0
expectimax,112,3000,3000,1.0
expectimax,113,3000,3000,1.0
expectimax,114,3000,3000,1.0
expectimax,115,3000,3000,1.0
expectimax,116,3000,3000,1.0
expectimax,117,3000,3000,1.0
expectimax,118,3000,3000,1.0
expectimax,119,3000,3000,1.0
expectimax,120,3000,3000,1.0
expectimax,121,3000,3000,1.0
expectimax,122,3000,3000,1.0
expectimax,123,3000,3000,1.0
expectimax,124,3000,3000,1.0
expectimax,125,3000,3000,1.0
